"background","knock_in","background_fun.mean","background_fun.sd","delta_fun.mean","delta_fun.sd"
"Ap","Lt",0.344983333333333,0.0258364245462358,0.534466666666667,0.0583926864712811
"Hop","Lt",0.414283333333333,0.167803280162616,0.3399,0.143380621075514
"Ku","Lt",0.521916666666667,0.118528945128746,0.19815,0.100513767713682
"","Lt",0,0,0.95405,0.000867467578644874
"Mp","Lt",0.343833333333333,0.125660428669225,0.2859,0.137292233939142
"Pk","Lt",0.27805,0.0306466556087284,0.454983333333333,0.0454500916757418
"Sp","Lt",0.952666666666667,0.000453688586293823,-0.02535,0.0647755355053125
"Td","Lt",0.839533333333333,0.0222884686179499,0.0394666666666666,0.0157879964952281
"Wa","Lt",0.292616666666667,0.00775650264831602,0.654533333333333,0.0430889873788342
"Zb","Lt",0.448016666666667,0.0398236843264575,0.526683333333333,0.0398236843264575
"Sc5","Lt",0.941972222222222,0.0120023989309387,0.00647777777777773,0.0212958325044639
"Sc8","Lt",0.947708823529412,0.00817225928365637,-0.0102088235294118,0.0147239779842833
"Ap,Pk,Sp,Zb","Mp",0.40655,0.083902219875281,0.0566444444444444,0.0475074740708511
"Ap,Pk,Sc5,Sp,Zb","Mp",0.9578,0.00394239774756431,-0.0835944444444445,0.0203373106310471
"Ap,Pk,Sc8,Sp,Zb","Mp",0.954866666666667,0.000548482755730148,-0.116516666666667,0.00571156234706794
"Ap,Lt,Sp,Wa","Mp",0.958516666666667,0.0046022639356444,-0.0947333333333333,0.0111971350502408
"Ap,Lt,Sc5,Sp,Wa","Mp",0.94985,0.0178485993848257,0.00191666666666664,0.00371629295580063
"Ap,Lt,Sc8,Sp,Wa","Mp",0.958116666666667,0.0046627066531504,-0.0238166666666667,0.00931320746753403
"Hop,Lt,Td,Zb","Mp",0.923616666666667,0.0226872394383568,-0.214666666666667,0.0203053153960566
"Hop,Lt,Sc5,Td,Zb","Mp",0.936483333333333,0.0262712929513059,-0.01765,0.0234360832905159
"Hop,Lt,Sc8,Td,Zb","Mp",0.92845,0.00697262504369771,-0.126516666666667,0.030065775116124
"Ap,Hop,Ku,Lt","Mp",0.762516666666667,0.0435666252231376,-0.190516666666667,0.040156578954554
"Ap,Hop,Ku,Lt,Sc5","Mp",0.913516666666667,0.028026341775789,-0.12015,0.0225931958784055
"Ap,Hop,Ku,Lt,Sc8","Mp",0.902733333333333,0.0119754262276269,-0.1223,0.0179677488851553
"Hop,Pk,Sp,Wa,Zb","Mp",0.71805,0.0275363396260287,-0.128633333333333,0.0196881521056025
"Hop,Pk,Sc5,Sp,Wa,Zb","Mp",0.81875,0.0291098351077432,-0.0728333333333334,0.0102188958960023
"Hop,Pk,Sc8,Sp,Wa,Zb","Mp",0.847933333333333,0.00933505936421049,-0.0294666666666667,0.00449063841044164
"Ku,Lt,Sp","Mp",0.920533333333333,0.0225671405661713,-0.109416666666667,0.0446743867706468
"Ku,Lt,Sc5,Sp","Mp",0.915733333333333,0.0377828113476662,-0.0253500000000001,0.00589215580242074
"Ku,Lt,Sc8,Sp","Mp",0.943316666666667,0.0143001165496417,-0.00276666666666666,0.00332653473352284
"Ap,Sp,Td,Wa","Mp",0.698416666666667,0.025194460369957,-0.0898666666666667,0.0269055911165939
"Ap,Sc5,Sp,Td,Wa","Mp",0.9604,0.00144222051018562,-0.0894666666666667,0.0146617131786613
"Ap,Sc8,Sp,Td,Wa","Mp",0.960416666666667,0.00144597141511623,-0.0688666666666667,0.0188707666334288
"Ku,Lt,Pk,Td,Zb","Mp",0.748883333333333,0.0163594264365636,-0.0167833333333333,0.0242654761612736
"Ku,Lt,Pk,Sc5,Td,Zb","Mp",0.908633333333333,0.021144877236185,-0.0743333333333334,0.0247567330908853
"Ku,Lt,Pk,Sc8,Td,Zb","Mp",0.919666666666667,0.0236075376380794,-0.0585333333333333,0.0159055283890016
"Ku,Lt,Pk,Wa,Zb","Mp",0.8834,0.00805543294925851,-0.167183333333333,0.0247426925239217
"Ku,Lt,Pk,Sc5,Wa,Zb","Mp",0.935383333333333,0.020184172842436,-0.115216666666667,0.0197500210970352
"Ku,Lt,Pk,Sc8,Wa,Zb","Mp",0.922733333333333,0.0240883962382998,-0.0993333333333333,0.00975427256812793
"Ku,Pk,Td,Zb","Mp",0.647433333333333,0.00872386573333943,-0.1112,0.0345244478594517
"Ku,Pk,Sc5,Td,Zb","Mp",0.893333333333333,0.0312104683292855,-0.17425,0.00519687406043288
"Ku,Pk,Sc8,Td,Zb","Mp",0.85575,0.0265173528090569,-0.101133333333333,0.0227337487743076
"Td,Wa,Zb","Mp",0.68805,0.0237419460028027,-0.0788000000000001,0.0481046515422365
"Sc5,Td,Wa,Zb","Mp",0.947333333333333,0.00759939690589549,-0.105666666666667,0.0105589219778032
"Sc8,Td,Wa,Zb","Mp",0.942516666666667,0.018657594521624,-0.0635166666666667,0.0148517956265676
"Ap,Hop,Sp,Td,Wa","Mp",0.732283333333333,0.0258337150509433,-0.14625,0.0341395298737402
"Ap,Hop,Sc5,Sp,Td,Wa","Mp",0.8701,0.0284232299360927,-0.0411666666666667,0.0413099967723713
"Ap,Hop,Sc8,Sp,Td,Wa","Mp",0.900983333333333,0.0147589238541749,-0.05025,0.0329308366125126
"Ap","Mp",0.344983333333333,0.0258364245462358,-0.12655,0.0782725526605591
"Hop","Mp",0.414283333333333,0.167803280162616,-0.152816666666667,0.112248945800543
"Ku","Mp",0.521916666666667,0.118528945128746,-0.3749,0.0813895417114509
"Lt","Mp",0.95405,0.000867467578644874,-0.324316666666667,0.0389431102164853
"","Mp",0,0,0.343833333333333,0.125660428669225
"Pk","Mp",0.27805,0.0306466556087284,0.0536666666666667,0.100451995168505
"Td","Mp",0.839533333333333,0.0222884686179499,-0.287416666666667,0.0495944889411449
"Sp","Mp",0.952666666666667,0.000453688586293823,-0.525216666666667,0.036328925573616
"Wa","Mp",0.292616666666667,0.00775650264831602,-0.158516666666667,0.0410226868127057
"Zb","Mp",0.448016666666667,0.0398236843264575,-0.1553,0.043976812071818
"Sc5","Mp",0.941972222222222,0.0120023989309387,-0.110722222222222,0.0221470626499084
"Sc8","Mp",0.947708823529412,0.00817225928365637,-0.0575588235294118,0.0036099859099305
"Ap,Mp,Sp,Zb","Pk",0.535833333333333,0.0526564415179505,-0.0726388888888889,0.0153536218431908
"Ap,Mp,Sc5,Sp,Zb","Pk",0.92475,0.0290017671875353,-0.0505444444444445,0.00758811814859498
