"community","fun"
"Lt,Sc5,Td",0.894857371407971
"Lt,Sc5,Wa",0.909569780984109
"Lt,Sc5,Zb",0.919624741648543
"Lt,Sc8,Sp",0.906887070968315
"Lt,Sc8,Td",0.894781976424407
"Lt,Sc8,Wa",0.906430412132885
"Lt,Sc8,Zb",0.915988211108614
"Lt,Sp,Td",0.869455068533595
"Lt,Sp,Wa",0.89524858770402
"Lt,Sp,Zb",0.900835067878135
"Lt,Td,Wa",0.844274891850728
"Lt,Td,Zb",0.87098301149601
"Lt,Wa,Zb",0.889392779615944
"Mp,Pk,Sc5",0.667943018030524
"Mp,Pk,Sc8",0.703529518269801
"Mp,Pk,Sp",0.521195430737147
"Mp,Pk,Td",0.475266321923841
"Mp,Pk,Wa",0.182660134531374
"Mp,Pk,Zb",0.321265501364142
"Mp,Sc5,Sc8",0.882658572112112
"Mp,Sc5,Sp",0.832424063259241
"Mp,Sc5,Td",0.825146791643105
"Mp,Sc5,Wa",0.776118858311671
"Mp,Sc5,Zb",0.81097196650253
"Mp,Sc8,Sp",0.851265292767634
"Mp,Sc8,Td",0.843917736325826
"Mp,Sc8,Wa",0.821624261772191
"Mp,Sc8,Zb",0.84262364812029
"Mp,Sp,Td",0.668275049357006
"Mp,Sp,Wa",0.636715760409034
"Mp,Sp,Zb",0.664136323086526
"Mp,Td,Wa",0.444013103882213
"Mp,Td,Zb",0.572085715657234
"Mp,Wa,Zb",0.267430121096474
"Pk,Sc5,Sc8",0.839895388000111
"Pk,Sc5,Sp",0.811218587279086
"Pk,Sc5,Td",0.769147064516046
"Pk,Sc5,Wa",0.687862060478219
"Pk,Sc5,Zb",0.740651806914528
"Pk,Sc8,Sp",0.823543896212897
"Pk,Sc8,Td",0.784451016514952
"Pk,Sc8,Wa",0.716761012271082
"Pk,Sc8,Zb",0.760907265484126
"Pk,Sp,Td",0.665546522814403
"Pk,Sp,Wa",0.659912093980434
"Pk,Sp,Zb",0.678465379743396
"Pk,Td,Wa",0.396175540959486
"Pk,Td,Zb",0.528808167315418
"Pk,Wa,Zb",0.262930144750125
"Sc5,Sc8,Sp",0.915976625788018
"Sc5,Sc8,Td",0.907175036722341
"Sc5,Sc8,Wa",0.917597397719864
"Sc5,Sc8,Zb",0.925265007063312
"Sc5,Sp,Td",0.875659153320144
"Sc5,Sp,Wa",0.91061172924965
"Sc5,Sp,Zb",0.908189933240385
"Sc5,Td,Wa",0.852108969891993
"Sc5,Td,Zb",0.879190486054667
"Sc5,Wa,Zb",0.861693581353202
"Sc8,Sp,Td",0.882742610562378
"Sc8,Sp,Wa",0.910788779323822
"Sc8,Sp,Zb",0.9104645597964
"Sc8,Td,Wa",0.868409285448349
"Sc8,Td,Zb",0.887420596748204
"Sc8,Wa,Zb",0.882186051896742
"Sp,Td,Wa",0.74910440568033
"Sp,Td,Zb",0.779071275072393
"Sp,Wa,Zb",0.823230580521487
"Ap,Hop,Ku,Lt",0.778263347591184
"Ap,Hop,Ku,Mp",0.447266963273216
"Ap,Hop,Ku,Pk",0.477204977564475
"Ap,Hop,Ku,Sc5",0.781783611505474
"Ap,Hop,Ku,Sc8",0.804510008570325
"Ap,Hop,Ku,Sp",0.730280886414023
"Ap,Hop,Ku,Td",0.638691272435392
"Ap,Hop,Ku,Wa",0.445110026601166
"Ap,Hop,Ku,Zb",0.572101603814699
"Ap,Hop,Lt,Mp",0.75401300895386
"Ap,Hop,Lt,Pk",0.754031267146902
"Ap,Hop,Lt,Sc5",0.868999818732013
"Ap,Hop,Lt,Sc8",0.875268446667466
"Ap,Hop,Lt,Sp",0.848393660164376
"Ap,Hop,Lt,Td",0.816436338884014
"Ap,Hop,Lt,Wa",0.776181742883931
"Ap,Hop,Lt,Zb",0.814766121646943
"Ap,Hop,Mp,Pk",0.380133662211764
"Ap,Hop,Mp,Sc5",0.755554711868642
"Ap,Hop,Mp,Sc8",0.784873973029501
"Ap,Hop,Mp,Sp",0.693575331542946
"Ap,Hop,Mp,Td",0.579509969450135
"Ap,Hop,Mp,Wa",0.327499386576838
"Ap,Hop,Mp,Zb",0.48723502461357
"Ap,Hop,Pk,Sc5",0.759564236535228
"Ap,Hop,Pk,Sc8",0.784991924421402
"Ap,Hop,Pk,Sp",0.700516083224293
"Ap,Hop,Pk,Td",0.597299598974018
"Ap,Hop,Pk,Wa",0.374656176187503
"Ap,Hop,Pk,Zb",0.519636458393597
"Ap,Hop,Sc5,Sc8",0.884416970483377
"Ap,Hop,Sc5,Sp",0.854105993001807
"Ap,Hop,Sc5,Td",0.821344519149726
"Ap,Hop,Sc5,Wa",0.781320658725424
"Ap,Hop,Sc5,Zb",0.82317086846131
"Ap,Hop,Sc8,Sp",0.863318522176929
"Ap,Hop,Sc8,Td",0.83680486624537
"Ap,Hop,Sc8,Wa",0.812360586718575
